p_id,title,rate,tags,address,url
54,더스위트타이,3.9,동남아음식,울산 중구 중앙길 113 (우)44529,https://place.map.kakao.com/26094293
55,어향횟집,4.4,회,울산 남구 북부순환도로1번길 4-4 1층 (우)44632,https://place.map.kakao.com/27319837
56,가을정류장,5.0,"스테이크,립",울산 남구 문수로 295 1층 (우)44645,https://place.map.kakao.com/1763067549
57,김대통의 대통물회횟집,2.0,회,울산 남구 중앙로167번길 21 (우)44676,https://place.map.kakao.com/1920720548
58,카페원스 두번째,4.8,카페,울산 북구 동해안로 1629 (우)44264,https://place.map.kakao.com/1593833239
59,미미옥 울산점,5.0,한식,울산 중구 동천1길 40 세영이노세븐 C동 160호 (우)44481,https://place.map.kakao.com/2070176037
60,칠성양곱창,4.0,"곱창,막창",울산 남구 삼산중로131번길 30 (우)44700,https://place.map.kakao.com/9483138
61,남도돼지국밥,2.1,국밥,울산 울주군 범서읍 장검길 9-9 (우)44933,https://place.map.kakao.com/21230956
62,부산갈매기,4.0,"육류,고기",울산 남구 수암로 23 (우)44730,https://place.map.kakao.com/9046017
63,영농한우식육식당,5.0,"육류,고기",울산 남구 대학로145번길 19 (우)44606,https://place.map.kakao.com/8485089
64,합천 돼지국밥돈다리탕,3.0,국밥,울산 남구 남중로108번길 36 (우)44711,https://place.map.kakao.com/10920508
65,조선왕갈비,4.6,갈비,울산 남구 삼산중로 37 1층 (우)44718,https://place.map.kakao.com/1564240368
66,정안정 굴화4호점,3.9,갈비,울산 울주군 범서읍 굴화1길 64-7 (우)44933,https://place.map.kakao.com/27452820
67,해야,43.0,이탈리안,울산 북구 동해안로 762 1층 (우)44235,https://place.map.kakao.com/24324816
68,돈오리,0.0,오리,울산 북구 명촌15길 5-3 (우)44254,https://place.map.kakao.com/16815472
69,태화강 숯불장어구이,3.2,장어,울산 중구 태화강국가정원길 169 (우)44457,https://place.map.kakao.com/11523713
70,도쿄참치,0.0,참치회,울산 남구 남중로74번길 5 (우)44712,https://place.map.kakao.com/7832380
71,돈몽가 울산본점,3.5,삼겹살,울산 북구 명촌12길 14 (우)44254,https://place.map.kakao.com/21401178
72,24시 해장국,3.9,해장국,울산 남구 번영로156번길 23 (우)44703,https://place.map.kakao.com/12042368
73,라비스트로,4.7,이탈리안,울산 중구 신기8길 61 1층 (우)44456,https://place.map.kakao.com/172395929
74,진장회수산센터,4.0,회,울산 북구 진장유통1로 60 (우)44249,https://place.map.kakao.com/302354030
75,짜장마을,4.6,중국요리,울산 중구 유곡로 10 지하1층 (우)44465,https://place.map.kakao.com/22810417
76,효정밥상,3.1,"게,대게",울산 울주군 청량읍 신덕하1길 9 (우)44984,https://place.map.kakao.com/15288780
