,Unnamed: 0,p_name,p_address,p_rating,p_category,p_tag,p_review,p_url
817,817,성지골못,울산 울주군 온산읍 강양리,0.0,저수지,태그 없음,./kakao_reviews/울산 명소/성지골못.csv,https://place.map.kakao.com/10472083
822,822,고연저수지,울산 울주군 웅촌면 고연리,3.0,저수지,태그 없음,./kakao_reviews/울산 명소/고연저수지.csv,https://place.map.kakao.com/8235995
832,832,창좌저수지,울산 북구 상안동,0.0,저수지,태그 없음,./kakao_reviews/울산 명소/창좌저수지.csv,https://place.map.kakao.com/15147491
835,835,차리저수지,울산 울주군 두서면 차리 375,0.0,저수지,['#걷기좋은'],./kakao_reviews/울산 명소/차리저수지.csv,https://place.map.kakao.com/23182152
838,838,오룡저수지,울산 울주군 언양읍 평리,0.0,저수지,태그 없음,./kakao_reviews/울산 명소/오룡저수지.csv,https://place.map.kakao.com/8016177
839,839,하태평못,울산 울주군 두서면 구량리,0.0,저수지,태그 없음,./kakao_reviews/울산 명소/하태평못.csv,https://place.map.kakao.com/8142291
842,842,옥동지,울산 북구 창평동 139,0.0,저수지,태그 없음,./kakao_reviews/울산 명소/옥동지.csv,https://place.map.kakao.com/18324974
845,845,점골저수지,울산 남구 무거동,0.0,저수지,태그 없음,./kakao_reviews/울산 명소/점골저수지.csv,https://place.map.kakao.com/15147909
854,854,추성1지,울산 울주군 언양읍 직동리,1.0,저수지,태그 없음,./kakao_reviews/울산 명소/추성1지.csv,https://place.map.kakao.com/8548760
855,855,가정저수지,울산 울주군 두서면 활천리,0.0,저수지,['#걷기좋은'],./kakao_reviews/울산 명소/가정저수지.csv,https://place.map.kakao.com/15148975
856,856,출강소류지,울산 울주군 삼동면 출강리,0.0,저수지,태그 없음,./kakao_reviews/울산 명소/출강소류지.csv,https://place.map.kakao.com/8555500
862,862,큰골못,울산 울주군 온양읍 대안리,0.0,저수지,태그 없음,./kakao_reviews/울산 명소/큰골못.csv,https://place.map.kakao.com/10818120
864,864,사촌저수지,울산 울주군 삼동면 하잠리,0.0,저수지,태그 없음,./kakao_reviews/울산 명소/사촌저수지.csv,https://place.map.kakao.com/10445441
871,871,함월루 공원주차장 전기차충전소,울산 중구 함월15길 5,0.0,전기자동차 충전소,태그 없음,./kakao_reviews/울산 공원/함월루 공원주차장 전기차충전소.csv,https://place.map.kakao.com/875875700
874,874,울산대교전망대,울산 동구 봉수로 155-1,4.6,전망대,"['#나들이', '#데이트코스', '#일출명소', '#전망좋은']",./kakao_reviews/울산 명소/울산대교전망대.csv,https://place.map.kakao.com/26425406
876,876,염포전망대,울산 북구 염포동 산 50-1,5.0,전망대,태그 없음,./kakao_reviews/울산 명소/염포전망대.csv,https://place.map.kakao.com/1753610805
878,878,태화강국가정원 태화강전망대,울산 남구 남산로 223,3.0,전망대,['#억새밭'],./kakao_reviews/울산 명소/태화강국가정원 태화강전망대.csv,https://place.map.kakao.com/19237158
880,880,살티순교성지,울산 울주군 상북면 덕현리 산 218-1,5.0,종교유적지,['#일출명소'],./kakao_reviews/울산 명소/살티순교성지.csv,https://place.map.kakao.com/1418594189
885,885,선암호수공원 제1주차장,울산 남구 선암동 453,0.0,주차장,태그 없음,./kakao_reviews/울산 공원/선암호수공원 제1주차장.csv,https://place.map.kakao.com/1413859998
886,886,천상공원 주차장,울산 울주군 범서읍 천상길 25,0.0,주차장,태그 없음,./kakao_reviews/울산 공원/천상공원 주차장.csv,https://place.map.kakao.com/1703445063
892,892,울산어린이천문대,울산 울주군 범서읍 지지1길 100,0.0,천문대,태그 없음,./kakao_reviews/울산 명소/울산어린이천문대.csv,https://place.map.kakao.com/747625539
900,900,진다방,울산 남구 봉월로151번길 27 2층,5.0,카페,"['#디저트카페', '#보드게임카페', '#실내놀거리']",./kakao_reviews/울산 보드카페/진다방.csv,https://place.map.kakao.com/970936560
